Nombre del campo,Número principal del activo,Subnúmero,Clase de activo,Sociedad,Cantidad de activos fijos iguales,Denominación,Denominación 2,Texto número principal del AF,Número de serie,Número de inventario,Cantidad,Unidad,Último inventario el,Indicador de inventario,Nota de inventario,Capitalizado el,Centro de coste,CeCo responsable,Centro,Emplazamiento,Local,Matrícula de vehículo,Fondo,Centro gestor,Elemento PEP,Centro de beneficio,Segmento,Paralizado,Acreedor,Activo fijo de origen en traslados,Criterio de clasificación 1,Criterio de clasificación 2,Criterio de clasificación 3,Criterio de clasificación 4,Criterio de clasificación 5,Supranúmero,Z - Municipio,Z - Matricula inmobiliaria,Z - Ficha catastral ,Z - Año del Impuesto,Z - Valor pagado impuesto predial,Z - Fecha pago impuesto predial,Z - Comodatario,Z - Contrato de comodato número,Z - Fecha de inicio ,Z - Fecha de terminación,Área de valoración,Clave de amortización,Vida útil Años,Vida util Meses,Fecha de inicio de amortización,Ejercicio fiscal actual,Clave de la moneda,Clave de revalorización (Aplica para las áreas de valoración 17 y 18),Valor residual en importe (Aplica para el área de valoración 1),Valor residual en % (Aplica para el área de valoración 1),Valor acumulado de adquisición,Revalorización acumulada en valor reposición,Amortización normal acumulada,Revalorización acumulada de amortización normal,Clase de movimiento,Anticipos acumulados,Capitalización del año en curso,Amortización contabilizada del año en curso,Revalorización de amortización normal del año en curso,Amortización de la revalorización del año en curso
"Recomendaciones específicas del campo (Detallar una breve descripción a que hace referenccia ese campo, si es un campo obligatorio y de llevar un dato en específico, indicarlo)","Número que, junto con el subnúmero del activo, identifica unívocamente a un activo fijo en la contabilidad de activos fijos. (Ingresar el número actual del activo) (Campo obligatorio)","Número que, junto con el número principal del activo, identifica unívocamente a un activo fijo en la contabilidad de activos fijos.",Indica el tipo de activo al que pertenece el activo. (Campo obligatorio) Ver catálogo,Identifica la entidad legal o unidad contable dentro de la cual está registrado y gestionado el activo fijo. (Campo obligatorio),Cantidad de activos fijos del mismo tipo que el sistema debe crear en el momento de grabar un registro maestro de activos fijos. (Campo fijo para todos 1) (Campo obligatorio),En este campo puede almacenarse una denominación cualquiera para el activo. (Campo obligatorio),En este campo puede almacenarse una denominación cualquiera para el activo. (Campo opcional),En este campo puede almacenarse una denominación cualquiera para un activo principal. Puede usarse para ingresar la marca del activo. (Campo opcional),Puede almacenar el número de serie del fabricante del activo en este campo. (Campo obligatorio),"En este campo, puede almacenar un número de inventario para el activo. (Campo que será asignado de forma automática, no es necesario ingresarlo) ",Cantidad que el sistema gestiona en el activo fijo. (Campo opcional),"Unidad de medida en que se gestiona el stock de material. (Campo obligatorio si se diligencia el campo de ""Cantidad"")",En este campo puede almacenarse la fecha del último inventario. DD.MM.AAAA (Campo opcional) ,Fije este indicador si quiere que el activo esté sujeto a la entrada inicial de stocks en un inventario. (Para todos activarlo colocando una X),En este campo se almacena información adicional en relación con el activo para la evaluación del inventario. (Campo opcional),"En este campo, el sistema almacena la fecha de referencia de la primera contabilización que lleva a la capitalización del activo. (Campo obliglatorio)",Se utiliza para indicar la unidad organizativa responsable de los gastos asociados al activo. (Campo obligatorio),"El centro de coste que sea responsable del bien activo, pero no de sus amortizaciones. (Campo obligatorio)",Identifica la ubicación física o planta de la organización donde estará asignado o gestionado el activo. (Campo opcional),Indica la ubicación física detallada donde se encuentra el activo dentro de un centro o planta. (Campo opcional),"Se utiliza para especificar de forma más detallada el lugar exacto dentro del emplazamiento donde se encuentra el activo, como un edificio, piso, oficina o área específica. (Campo opcional)",Se utiliza para registrar el número de placa oficial asignado a un vehículo por la autoridad de tránsito. (Campo opcional),"Se utiliza para asignar el activo fijo a un fondo específico de financiamiento dentro del módulo de Gestión de Fondos (No es necesario ingresar ningún dato, lo hereda al ingresar el CeCo) (Campo opcional)","Se utiliza para asignar el activo fijo a una unidad administrativa o responsable presupuestal dentro del módulo de Gestión de Fondos (FM). (No es necesario ingresar ningún dato, lo hereda al ingresar el CeCo) (Campo opcional)","Se utiliza para vincular el activo fijo con un elemento de la estructura de proyecto del módulo de Gestión de Proyectos (PS). (No es necesario ingresar ningún dato, lo hereda al ingresar el CeCo) (Campo opcional)","Se utiliza para asignar el activo fijo a una unidad de resultados dentro del módulo de Controlling. (CO-PA). (No es necesario ingresar ningún dato, lo hereda al ingresar el CeCo) (Campo opcional)","Se utiliza para asignar el activo fijo a un segmento contable de la organización. (No es necesario ingresar ningún dato, lo hereda al ingresar el CeCo) (Campo opcional)",Se utiliza para indicar que un activo fijo se encuentra fuera de operación o temporalmente inactivo. (Campo opcional),Se utiliza para registrar el proveedor o tercero relacionado con la adquisición del activo fijo. (Campo opcional),Se utiliza para almacenar el número de activo externo o legado. (Ingresar el número actual del activo) (Campo obligatorio),"Se utiliza como un campo de referencia libremente definible por la empresa para agrupar, filtrar o clasificar activos según necesidades internas específicas. (Campo opcional)","Se utiliza como un campo de referencia libremente definible por la empresa para agrupar, filtrar o clasificar activos según necesidades internas específicas. (Campo opcional)","Se utiliza como un campo de referencia libremente definible por la empresa para agrupar, filtrar o clasificar activos según necesidades internas específicas. (Campo opcional)","Se utiliza como un campo de referencia libremente definible por la empresa para agrupar, filtrar o clasificar activos según necesidades internas específicas. (Campo opcional)","Se utiliza como un campo de referencia libremente definible por la empresa para agrupar, filtrar o clasificar activos según necesidades internas específicas. (Campo opcional)",Número de cedula del empleado responsable del activo (Campo opcional),(Campo de ampliación),(Campo de ampliación),(Campo de ampliación),(Campo de ampliación),(Campo de ampliación),(Campo de ampliación)DD.MM.AAAA,(Campo de ampliación),(Campo de ampliación),(Campo de ampliación) DD.MM.AAAA,(Campo de ampliación) DD.MM.AAAA,Área de amortización que se gestiona en el sistema como un área real (no un área derivada).,La clave de amortización (clave de valoración) controla la valoración de activos fijos en las áreas de valoración correspondientes.,Vida útil ya transcurrida de un activo fijo en años,Vida útil ya transcurrida de un activo fijo en meses,,"Ejercicio actual = ejercicio activo en el sistema. Período, 12 meses como norma para el cual la empresa debe crear su inventario y balance.",Moneda COP,,Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),,Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),"Introduzca una fila por cada área de amortización. Debe ser negativo, por ejemplo -10000. Valor numérico (Saldo del activo)",Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),,Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo),Introduzca una fila por cada área de amortización. Valor numérico (Saldo del activo)
Nombre ténico del Campo,ANLN1,ANLN2,ANLKL,BUKRS,MENGE,TXT50,TXA50,ANLHTXT,SERNR,INVNR,MENGE,MEINS,IVDAT,INKEN,INVZU,AKTIV,KOSTL,KOSTLV,WERKS,STORT,RAUMN,KFZKZ,GEBER,FISTL,PS_PSP_PNR2,PRCTR,SEGMENT,XSTIL,LIFNR,AIBN1,ORD41,ORD42,ORD43,ORD44,GDLGRP,ANLUE,,,,,,,,,,,AFABE,AFASL,NDABJ,NDPER,AFABG,GJAHR,CURRENCY,J_1AARVKEY,SCHRW,SCHRW_PROZ,KANSW,KAUFW,KNAFA,KAUFN,BWASL,KANZA,ANBTR,NAFAL,AUFWL,AUFNL
Tabla,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLH,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLA ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLZ,ANLA,ANLA,ANLA,ANLA,ANLA,ANLA,ANLA,ANLA,,,,,,,,,,,ANLAB,ANLAB,ANLC,ANLB,ANLB,ANLC,,ANLB,ANLB,ANLB,ANLC,ANLC,ANLC,ANLC,ANEP,ANLC,ANEP,ANLC,ANLC,ANLC
Longitud,12,4,8,4,3,50,50,50,18,25,13,13,8,1,15,8,10,10,4,10,8,15,10,16,8,10,10,1,10,12,4,4,4,4,8,12,,,,,,,,,,,2,4,3,,,4,3,13,23,14,23,23,23,23,3,23,23,23,23,23
Tipo de dato,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Numérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Numérico,Alfanumérico,Fecha,Alfabético,Alfanumérico,Fecha,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Año,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Alfanumérico,Numérico,Date,Numérico,Alfanumérico,Alfanumérico,Numérico,Decimal,Numérico,Numérico,Numérico,Numérico,Alfanumérico,Numérico,Numérico,Numérico,Numérico,Numérico
Agregar un ejemplo de datos,3003793,,16050300,CALG,1,LA SELVA,,,359-17371,,,,,X,,,16AMB1B0,16AMB1B0,,,,,,,,,,,,3003793,,,16,,,,Herveo,359-17371,73-347-00-02-0014-0042-000,,,,,,,,1,0000,,,,2025,COP,,,,1651351278,,,,,,,,,
,3003793,,16050300,CALG,1,LA SELVA,,,359-17371,,,,,X,,,16AMB1B0,16AMB1B0,,,,,,,,,,,,3003793,,,16,,,,Herveo,359-17371,73-347-00-02-0014-0042-000,,,,,,,,1,0000,,,,2025,COP,,,,1651351278,,,,,,,,,
,3003794,,16050300,CALG,1,EL PORVENIR,,,359-4936,,,,,X,,,16AMB1B0,16AMB1B0,,,,,,,,,,,,3003794,,,16,,,,Herveo,359-4936,73-347-00-02-0014-0007-000,,,,,,,,1,0000,,,,2025,COP,,,,755760000,,,,,,,,,
,3003795,,16050300,CALG,1,LOTE DE TERRENO,,,293-23312,,,,,X,,,16AMB1B0,16AMB1B0,,,,,,,,,,,,3003795,,,16,,,,Guática,293-23312,66-318-00-02-0008-0016-000,,,,,,,,1,0000,,,,2025,COP,,,,118596720,,,,,,,,,
